Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
250 cc (Inder 1992),Inder,1992,"Sports, Motorcycle Racing",4,4089,-,SS,VPX,"Ext2k, JPSalas, TastyWasps",1.0.0,2023-11-29,250 cc
300 (Gottlieb 1975),Gottlieb,1975,"Sports, Bowling",4,2539,-,EM,VPX,"Scampa123, Loserman76, Rawd, Pritch33, Leojreimroc, Apophis, HauntFreaks",1.1,2021-09-17,300
301 Bullseye (Grand Products  1986),Grand Products ,1986,"Sports, Darts",-,-,-,SS,VPX,JPSalas,1.0.0,2022-12-29,301 Bullseye
8 Ball (Williams 1952),Williams,1952,"Sports, Billiards",-,-,-,EM,FP,Popotte,1.01,2023-11-27,8 Ball
Ali (Stern 1980),Stern,1980,"Sports, Boxing, Licensed Theme",4,43,-,SS,FP,"NitroNimbus, Cypher80b, DStruct",2.0,2023-09-11,Ali
All-Star Basketball (Gottlieb 1952),Gottlieb,1952,"Sports, Basketball",1,54,-,EM,FP,"Martin Brunker, Brent Carter",1.0,2023-07-22,All-Star Basketball
Alle Neune (NSM 1969),NSM,1969,"Sports, Bowling, Flipperless",1,6037,-,EM,VPX,"Stefanaustria (STAT), Hmueck, Bord",1.1,2022-05-23,Alle Neune
Aspen (Brunswick 1979),Brunswick,1979,"Sports, Skiing",4,3660,-,SS,VPX,"Updon719, JPSalas",1.0.0,2023-02-20,Aspen
Atleta (Inder 1991),Inder,1991,"Sports, Olympic Games",4,4095,-,SS,VPX,"Goldchicco, 32assassin, Pachecas",1.0,2020-12-28,Atleta
Auto Race (Gottlieb 1956),Gottlieb,1956,"Sports, Auto Racing",-,112,-,EM,FP,Popotte,1.0,2023-10-01,Auto Race
BMX (Bally 1982),Bally,1982,"Sports, Bicycling",-,335,-,SS,VPX,"MauiPunter, Halen, Pin-Pete, Mike Da Spike, JPSalas",1.0,2023-03-24,BMX
Banzai Run (Williams 1988),Williams,1988,"Sports, Motorcycles, Motocross",4,175,-,SS,VPX,"JPSalas, EBisLit, Aubrel, JLouLoulou",4.3.0,2023-11-02,Banzai Run
Baseball (Gottlieb 1970),Gottlieb,1970,"Sports, Baseball",1,185,-,EM,VPX,"Teisen, Loserman76, GNance",1.0.0,2023-12-29,Baseball
Basketball (ISDA 1986),ISDA,1986,"Sports, Basketball",4,5023,-,SS,VPX,"Goldchicco, Mfuegemann, Vogliadicane, Arngrim, 32assassin, JPSalas, Movieguru",1.1a,2020-12-16,Basketball
Batter Up (Gottlieb 1970),Gottlieb,1970,"Sports, Baseball",1,197,-,EM,VPX,"Loserman76, GNance",1.0.0f,2022-01-25,Batter Up
Beat the Clock (Williams 1963),Williams,1963,"Sports, Auto Racing, Cars",1,210,-,EM,FP,Leon Spalding,1.0,2023-09-13,Beat the Clock
Beisbol (Maresa 1971),Maresa,1971,"Sports, Baseball",1,5320,-,EM,VPX,"CactusDude, Loserman76, GNance, Foxyt",0.04,2023-11-02,Beisbol
Bell Ringer (Gottlieb 1990),Gottlieb,1990,"Sports, Motorcycles, Motocross",4,3602,-,SS,VPX,"Rascal, Destruk",1.1.0,2022-04-13,Bell Ringer
Big Game (Rock-ola 1935),Rock-ola,1935,"Sports, Hunting",1,248,-,PM,VPX,CactusDude (Warbler 33),0.23,2023-09-21,Big Game
Blackwater 100 (Bally 1988),Bally,1988,"Sports, Motorcycles, Motocross",4,319,-,SS,VPX,"Goldchicco, Sindbad, Elvinu, 32assassin",1.1,2020-08-04,Blackwater 100
Bobby Orr Power Play (Bally 1978),Bally,1978,"Sports, Hockey, Celebrities",4,1858,-,SS,VPX,Bord,2.1,2022-04-08,Bobby Orr Power Play
Bowling Champ (Gottlieb 1949),Gottlieb,1949,"Sports, Bowling",1,348,-,EM,FP,"Okobojimusky, Francisco Pozo",1.2,2023-09-08,Bowling Champ
Bowling League (Gottlieb 1947),Gottlieb,1947,"Sports, Bowling",1,366,-,EM,FP,Francisco Pozo,1.0,2023-08-08,Bowling League
Breakshot (Capcom 1996),Capcom,1996,"Sports, Billiards",4,3784,-,SS,VPX,"Bigus1, Krobar74",3.1,2023-01-26,Breakshot
Bristol Hills (Gottlieb 1971),Gottlieb,1971,"Sports, Skiing, Snowmobiling",2,376,-,EM,VPX,"Teisen, Loserman76, GNance, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim, Opus33321",1.0.0,2023-11-10,Bristol Hills
Caddie (Playmatic 1975),Playmatic,1975,"Sports, Golf",1,4486,-,EM,VPX,"Loserman76, Akiles50000, JPSalas",1.0.0f,2022-03-21,Caddie
Canasta 86 (Inder 1986),Inder,1986,"Sports, Basketball",4,4097,-,SS,VPX,"Ext2k, JPSalas, TastyWasps, Gwillion, Wildman",1.0.0,2023-11-25,Canasta 86
Cannes (Segasa 1976),Segasa,1976,"World Places, Aquatic, Sports, Happiness, Recreation, Water Skiing, Swimming",-,424,-,EM,VPX,Klodo81,1.2,2023-07-06,Cannes
Champ (Bally 1974),Bally,1974,"Sports, Pinball",4,486,-,EM,VPX,"Jogrady7, -=Kees=-",1.0,2021-03-26,Champ
Champions League - Libertadores narracao Brasileira (Original 2020),Original,2020,"Sports, Soccer",4,-,-,SS,VPX,Valkimpro,10.1,2020-02-22,Champions League - Libertadores narracao Brasileira
Champions League - Season 2017 (Original 2017),Original,2017,"Sports, Soccer",4,-,-,SS,VPX,"Ninuzzu, Tom Tower",1.4,2019-03-19,Champions League - Season 2017
Champions League - Season 2018 (Original 2017),Original,2017,"Sports, Soccer",4,-,-,SS,VPX,"Ninuzzu, Tom Tower, Shoopity, Flupper, Knorr, UltraPeepi, VPX Dev Team, Arngrim, JPSalas",1.0,2022-04-03,Champions League - Season 2018
Champions League - Season 2018 - St. Pauli (Original 2018),Original,2018,"Sports, Soccer",4,-,-,SS,VPX,"Bambi Plattfuss, Tom Tower, Dids666, Jorg, Ninuzzu, HauntFreaks, Nailbuster",1.0,2018-10-08,Champions League - Season 2018 - St. Pauli
Champions League 2020 (Original 2020),Original,2020,"Sports, Soccer",4,-,-,SS,VPX,"Donuts10, Tom Tower, Ninuzzu",1.1,2020-10-10,Champions League 2020
Champions League 2021 (Original 2020),Original,2020,"Sports, Soccer",4,-,-,SS,VPX,"Solters, Donuts10, Tom Tower, Ninuzzu, Nailbuster",1.0,2022-07-23,Champions League 2021
Champions League 2023 (Original 2023),Original,2023,"Sports, Soccer",-,-,-,SS,VPX,Donuts,1.0.0,2023-12-17,Champions League 2023
Checkpoint (Data East 1991),Data East,1991,"Sports, Auto Racing",4,498,-,SS,VPX,"Nestorgian, AgentEighty6, Goldchicco, 32assassin, Destruk",2.0,2022-09-23,Checkpoint
Chicago Cubs Triple Play (Gottlieb 1985),Gottlieb,1985,"Sports, Baseball",4,502,-,SS,VPX,"Morttis, Arconovum, 32assassin, Cyberpez",2.0-2.6,2023-06-12,Chicago Cubs Triple Play
Copa Libertadores 2018 (Original 2018),Original,2018,"Sports, Soccer",-,-,-,SS,VPX,"Kalavera, Tomás, Tom Tower, Ninuzzu",1.0,2018-06-14,Copa Libertadores 2018
Criterium 75 (Recel 1975),Recel,1975,"Sports, Bicycle Racing",4,596,-,EM,VPX,"Editoy, Exegeta, Stefanaustria (STAT), Loserman76, HSM",1.2,2018-10-26,Criterium 75
Criterium 77 (Taito do Brasil 1977),Taito do Brasil,1977,"Sports, Bicycle Racing",-,-,-,EM,VPX,"JPSalas, Halen, Editoy",4.3.0,2023-06-28,Criterium 77
Cue-T (Williams 1958),Williams,1958,"Sports, Billiards",-,-,-,EM,FP,Margoni,1.0,2023-09-17,Cue-T
Dale Jr. NASCAR (Stern 2007),Stern,2007,"Sports, Auto Racing, Cars",4,5292,-,SS,VPX,"Morttis, Arconovum, Requiem, 32assassin, JPSalas",1.01-3.0,2023-06-13,Dale Jr. NASCAR
Dennis Lillee's Howzat! (Hankin 1980),Hankin,1980,"Sports, Cricket",-,3909,-,SS,VPX,"JPSalas, Destruk, Assie34, Tom Tower",1.0.1,2023-06-18,Dennis Lillee's Howzat!
Endless Summer (Original 2020),Original,2020,"Sports, Surfing",4,-,-,EM,VPX,"Makmak, Thalamus, Tracy, Outhere, Flupper, DJRobX, TerryRed, Franck Hollinger (Mussinger), Toxie, JR, Randr, GTO77, BeachBumTN, Scotty VH, ScottyWic, Fuzzel, Schreibi34, MajorFrenchy, SuperED, Wrd1972, Mfuegemann, GTXJoe, BorgDog, Ninuzzu, 3rdAxis, Arngrim, HauntFreaks, JPSalas, SliderPoint, Bord, Rothbauerw, SLAMT1LT, rom, Nailbuster",0.9.7.9,2022-07-15,Endless Summer
Fathom (Bally 1981),Bally,1981,"Fantasy, Scuba Diving, Sports, Aquatic",4,829,-,SS,VPX,"UnclePaulie, EBisLit, Redbone, Circus, VPW Team, Apophis, Bountybob, Dgrimmreaper, Studlygoorite, Pinstratsdan, Wylte, Trytotilt, Bietekwiet, Astronasty, HauntFreaks",2.0.1,2023-09-27,Fathom
Fight Night (Original 2014),Original,2014,"Sports, Boxing",-,-,-,EM,VPX,Jogrady7,1.1,2021-11-24,Fight Night
Fish Tales (Williams 1992),Williams,1992,"Sports, Fishing",4,861,-,SS,FX,"Zen Studios, Peter Grafl",-,2023-07-19,Fish Tales
Flipper Football (Capcom 1996),Capcom,1996,"Sports, Soccer",6,3945,-,SS,VPX,"Bigus1, 32assassin, JPSalas",2.1,2023-07-22,Flipper Football
Flying Turns (Midway 1964),Midway,1964,"Sports, Auto Racing",2,910,-,EM,VPX,Rascal,1.0,2022-11-14,Flying Turns
Football (Taito do Brasil 1979),Taito do Brasil,1979,"Sports, Soccer",4,5199,-,SS,VPX,"JPSalas, Darquayle, Carlos Guizzo, Editoy, Culik, Fuzzel, Tio Italo, Foxyt, Leeoneil, Rothbauerw",4.0.1,2022-10-14,Football
Four Seasons (Gottlieb 1968),Gottlieb,1968,"Sports, Aquatic, Recreation, Water Skiing, Ice Skating, Hunting",4,939,-,EM,VPX,"Teisen, Loserman76, Cyberpez, Bord",1.0.0,2023-12-23,Four Seasons
Frank Thomas' Big Hurt (Gottlieb 1995),Gottlieb,1995,"Sports, Baseball",-,3591,-,SS,VPX,"Bigus1, VPMXtreme",1.1,2023-03-03,Frank Thomas' Big Hurt
Free Fall (Gottlieb 1974),Gottlieb,1974,"Parachuting, Sports, Skydiving",1,949,-,EM,VPX,"Teisen, Loserman76, GNance, HauntFreaks, BorgDog, JPSalas, Pinuck, Arngrim",1.0,2023-09-26,Free Fall
Full (Recreativos Franco 1977),Recreativos Franco,1977,"Sports, Bowling",1,4707,-,EM,VPX,"Teisen, Loserman76, Popotte",1.0,2023-07-13,Full
Full Throttle  (Original 2023),Original,2023,"Sports, Motorcycle Racing",-,6301,-,SS,VPX,"Ryguy417, JPSalas",1.0.0,2023-05-27,Full Throttle
Grand Prix (Williams 1976),Williams,1976,"Sports, Auto Racing",4,1072,-,EM,VPX,Loserman76,1.0.0f,2022-06-28,Grand Prix
Grand Slam (Bally 1983),Bally,1983,"Sports, Baseball",4,1079,-,SS,VPX,"Goldchicco, Franck Hollinger (Mussinger), Chinzman93, Thalamus, Mike Da Spike, Movieguru, Arngrim, Batch, 32assassin, JPSalas",2.3,2021-03-28,Grand Slam
