Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
A Real American Hero - Operation P.I.N.B.A.L.L. (Original 2022),Original,2022,"Toy Franchise, Kids",-,-,-,SS,VPX,"Xenonph, Lizard, Slydog43, Thalamus, Stefanaustria (STAT), GTXJoe, Allknowing2012, JPSalas",2.1,2023-06-12,A Real American Hero - Operation P.I.N.B.A.L.L.
Adventure Time - Rainy Day Daydream (Original 2022),Original,2022,"Animation, Kids",-,-,-,SS,VPX,"User42, Rascal, Kevinleedrum, Mfuegemann, Bigus1",1.0,2022-02-18,Adventure Time - Rainy Day Daydream
Adventures of Rocky and Bullwinkle and Friends (Data East 1993),Data East,1993,"Cartoon, Kids",4,23,-,SS,VPX,"Cyberpez, Scottacus, TastyWasps, Passion4Pins, Arvid, Sliderpoint, Wrd1972, Rothbauerw, Dark, FBX, TheMotherBrain, DJRobX, RustyCardores",1.0.6,2024-01-09,Adventures of Rocky and Bullwinkle and Friends
Albator 78 (Original 2022),Original,2022,"Anime, Kids",-,-,-,SS,VPX,"Cez60, Sylvidres, JPSalas",1.0.1,2022-04-03,Albator 78
Albator The Movie (Original 2022),Original,2022,"Anime, Kids",-,-,-,-,VPX,"Cez60, JPSalas",1.0.0,2022-04-02,Albator The Movie
Animal Crossing Pinball (Original 2021),Original,2021,"Video Game, Kids",-,-,-,SS,VPX,"SG1bsoN, HiRez00",1.1,2021-12-08,Animal Crossing Pinball
Asterix the Twelve Tasks (Original 2022),Original,2022,"Animation, Kids",-,-,-,SS,VPX,"Balanica, JPSalas",4.0,2022-09-11,Asterix the Twelve Tasks
Bart vs. the Space Mutants (Original 2017),Original,2017,"Animation, Kids, TV Show",-,-,-,SS,VPX,TheGhost787,1.1,2017-01-01,Bart vs. the Space Mutants
Biene Maja (Original 2022),Original,2022,"Animation, Kids",-,-,-,SS,-,Icepinball,1.0.0,2022-04-03,Biene Maja
Blaze And The Monster Machines (Original 2021),Original,2021,"TV Show, Kids",4,-,-,SS,VPX,"Buffalo Pin Bro, Hawkeyez88, RetroG33k, Goldchicco",1.2,2022-05-13,Blaze And The Monster Machines
Bluey (Original 2021),Original,2021,"Cartoon, Kids",4,-,-,EM,VPX,"Phenom, Dvs626, Pinballfan2018, JPSalas, Goldchicco",1.0,2023-06-05,Bluey
Bravestarr (Original 2021),Original,2021,"Animation, Cartoon, Kids",1,-,-,EM,VPX,"MellerMeller, JPSalas",1.0,2024-01-11,Bravestarr
Bugs Bunny's Birthday Ball (Bally 1991),Bally,1991,"Licensed Theme, Cartoon, Happiness, Kids",4,396,-,SS,VPX,"Wrd1972, Cyberpez, nFozzy, Flupper, DJRobX, Bodydump, Bord, Rothbauerw",2.3b,2023-05-11,Bugs Bunny's Birthday Ball
Charlie Brown Christmas (Original 2023),Original,2023,"Animation, Comic, Christmas, Kids",-,-,-,EM,VPX,"iDigStuff, Apophis, HauntFreaks, DarthVito, Leojreimroc, TastyWasps, DaRdog81, RetroG33k, Passion4pins, Studlygoorite, Bietekwiet, JPSalas",1.1,2023-12-24,Charlie Brown Christmas
Comic Book Guy (Original 2021),Original,2021,"Animation, Cartoon, Kids",1,-,-,EM,VPX,MellerMeller,1.1,2024-01-11,Comic Book Guy
Cool Spot 7UP Pinball (Original 2019),Original,2019,"Video Game, Kids",4,-,-,SS,VPX,"Ivantba, JPSalas",1.0,2019-07-01,Cool Spot 7UP Pinball
Cuphead Pro (Original 2019),Original,2019,"Video Game, Kids",-,-,-,EM,VPX,"MauiPunter, Scottacus, Onevox, Bord, Wylte, Jagandy82",1.2,2023-11-18,Cuphead Pro
Disney Descendants (Original 2020),Original,2020,"Animation, Movie, Kids",4,-,-,SS,VPX,"Phenom, Pinballfan2018, Hawkeyez88, KenSwift, Joey, Jason, iDigStuff, JPSalas, Goldchicco, Nailbuster",1.3,2021-03-27,Disney Descendants
Disney Encanto  (Original 2022),Original,2022,"Animation, Kids",-,-,-,SS,VPX,"Manbearpig, JPSalas",1.0,2022-02-01,Disney Encanto
Disney Moana (Original 2021),Original,2021,"Animation, Kids",-,-,-,SS,VPX,"Phenom, Dvs626, BuffaloPinPro, Hawkeyez88, NJ, Pinball Picasso, PEandS1ws, JPSalas, Goldchicco, TCDeez",1.1,2021-11-26,Disney Moana
Disney Pixar Brave (Original 2021),Original,2021,"Animation, Kids",-,-,-,SS,VPX,"Phenom, Danvor, Dvs626, Hawkeyez88, Pinball Picasso, PEandS1ws, TCDeez, Goldchicco",1.0,2023-06-05,Disney Pixar Brave
Disney Pixar Luca (Original 2021),Original,2021,"Animation, Kids",-,-,-,SS,VPX,"Phenom, Buffalo Pin Bro, iDigStuff, Jbg4208, HauntFreaks, Goldchicco",1.1,2021-11-26,Disney Pixar Luca
Disney Pixar Onward (Original 2021),Original,2021,"Animation, Kids",-,-,-,SS,VPX,"Manbearpig, ScottyWic, Phenom, JPSalas",1.1,2022-01-09,Disney Pixar Onward
Disney Princesses (Original 2016),Original,2016,"Animation, Kids",-,-,-,SS,VPX,"Rtkiii, Xenonph, GTXJoe, BorgDog, SliderPoint",2.4,2021-02-19,Disney Princesses
Disney Tangled (Original 2021),Original,2021,"Cartoon, Kids",-,-,-,SS,VPX,"Phenom, Buffalo Pin Bro, iDigStuff, Hawkeyez88, NJ, Pinball Picasso, Devious626, PEandS1ws, Chucky87, JPSalas, Goldchicco, TCDeez",2.0,2021-11-26,Disney Tangled
Disney The Little Mermaid  (Original 2021),Original,2021,"Animation, Kids",-,-,-,SS,VPX,"Phenom, Dvs626, Buffalo Pin Bro, Hawkeyez88, NJ, iDigStuff, Pinball Picasso, PEandS1ws, Chucky87, JPSalas, Goldchicco, TCDeez",1.1,2021-11-24,Disney The Little Mermaid
Disney's Aladdin (Original 2020),Original,2020,"Animation, Kids",4,-,-,SS,VPX,"Ivantba, Flash 62",1.0,2020-01-28,Disney's Aladdin
Donald Duck Phantomias (Original 2022),Original,2022,"Animation, Kids",-,-,-,SS,VPX,"Icepinball, JPSalas",1.01,2022-05-22,Donald Duck Phantomias
Doraemon (Original 2020),Original,2020,"Animation, Kids",-,-,-,EM,VPX,"Remdwaas1986, JPSalas",1.2,2021-12-15,Doraemon
Dreamworks Megamind (Original 2021),Original,2021,"Animation, Movie, Kids",4,-,-,SS,VPX,"Phenom, Dvs626, Buffalo Pin Bro, Goldchicco",1.1,2021-10-23,Dreamworks Megamind
Dreamworks Trolls (Original 2021),Original,2021,"Animation, Movie, Kids",-,-,-,SS,VPX,"Phenom, Brendan Bailey (Pinwizkid), Javier1515, Hawkeyez88, PEandS1Ws, Goldchicco, TCDeez",1.2,2021-11-26,Dreamworks Trolls
DuckTales (Original 2020),Original,2020,"Animation, Kids, Video Game",-,-,-,SS,VPX,"Remdwaas1986, Ivantba, JPSalas, Wyk82, Outhere",1.6,2023-10-03,DuckTales
Frozen (Original 2016),Original,2016,"Animation, Kids",-,-,-,SS,VPX,Lodger,1.1,2016-08-03,Frozen
Gargamel Park (Original 2017),Original,2017,"Animation, Kids",-,-,-,SS,VPX,"JPSalas, Arngrim, HauntFreaks",4.0.2,2022-11-30,Gargamel Park
Home Alone (Original 2021),Original,2021,"Movie, Kids",-,-,-,SS,VPX,"Joe Picasso, RetroG33k, Soundscape, TCDeez, Buffalo Pin Bro, Scampa123, Team Tuga, JPSalas",1.0.0,2021-12-24,Home Alone
Home Alone 2 Pinball (Original 2020),Original,2020,"Christmas, Movie, Kids",4,-,-,SS,VPX,"Stevegooner1234, Xenonph, Wildman, Lizard",1.0,2020-11-27,Home Alone 2 Pinball
Home Alone Pinball (Original 2019),Original,2019,"Christmas, Movie, Kids",4,-,-,SS,VPX,"Stevegooner1234, Xenonph, Wildman, Lizard",1.0,2020-11-27,Home Alone Pinball
Ice Age - A Mammoth Xmas Pinball (Original 2020),Original,2020,"Christmas, Animation, Kids, Movie",4,-,-,SS,VPX,"Stevegooner1234, Wildman, Lizard, Xenonph",1.0,2020-11-27,Ice Age - A Mammoth Xmas Pinball
Ice Age Christmas (Original 2021),Original,2021,"Christmas, Animation, Kids, Movie",-,-,-,SS,VPX,"Balutito, JPSalas",1.0.0,2021-12-18,Ice Age Christmas
Inspector Gadget (Original 2021),Original,2021,"Animation, Cartoon, Kids",-,-,-,SS,VPX,"MellerMeller, Nestorgian",1.0,2024-01-11,Inspector Gadget
JP's Papa Smurf (Original 2015),Original,2015,"Animation, Kids",-,-,-,SS,VPX,"JPSalas, Fuzzel, Toxie, BrandNew, Mukuste, BorgDog",4.0.2,2022-11-30,JP's Papa Smurf
JP's Pokemon Pinball (Original 2016),Original,2016,"Cartoon, Kids",-,6265,-,SS,VPX,"DGrimmReaper, JPSalas",1.0,2023-07-31,JP's Pokemon Pinball
JP's Smurfette (Original 2016),Original,2016,"Animation, Kids",-,-,-,EM,VPX,"JPSalas, Arngrim, HauntFreaks",4.0.1,2022-11-30,JP's Smurfette
Looney Tunes (Original 2022),Original,2022,"Animation, Kids",-,-,-,SS,VPX,"Icepinball, Ronald Kah, JPSalas",1.01,2022-05-22,Looney Tunes
Mario Kart Pinball (Original 2022),Original,2022,"Kart Racing, Video Game, Kids",-,-,-,SS,VPX,"Ryguy417, Rascal, Steely, Stefanaustria (STAT), Andrew Walsh (Awalsh053), James, Shaggy, Pritch33, Bladeof, Rajo Joey, Andrei Maraklov, Goldchicco, VPin Workshop (VPW)",3.0.1,2022-04-11,Mario Kart Pinball
Marsupilami (Original 2022),Original,2022,"Comics, Kids",-,-,-,SS,VPX,"Icepinball, Mfuegemann, Pmax65, Ronald Kah, Akiles50000, JPSalas",1.0.0,2022-07-08,Marsupilami
Masters of the Universe (Original 2018),Original,2018,"Animation, Kids, TV Show",-,-,-,SS,VPX,"Randr, Psiomicron, TerryRed, Thalamus, LynnInDenver, Sixtoe, rom",1.0.1,2022-05-23,Masters of the Universe
Mickey Mouse Happy Chrismas (Original 2020),Original,2020,"Christmas, Animation, Kids",-,-,-,SS,VPX,"Icepinball, JPSalas",1.0.0,2022-12-25,Mickey Mouse Happy Chrismas
Mickey Mouse Happy Halloween 2022 (Original 2022),Original,2022,"Halloween, Animation, Kids",-,-,-,SS,VPX,"Icepinball, JPSalas",1.0.0,2022-10-29,Mickey Mouse Happy Halloween 2022
Mickey Mouse in Steamboat Willie (Original 2022),Original,2022,"Animation, Kids",-,-,-,SS,VPX,"Manbearpig, Leeoneil, Redwings13, Craig Monyhan, JPSalas",1.0,2022-04-12,Mickey Mouse in Steamboat Willie
Minecraft (Original 2020),Original,2020,"Video Game, Kids",4,-,-,SS,VPX,"Davor Lipovac, Ivantba, JPSalas",1.2,2020-04-20,Minecraft
Minions Pinball (Original 2015),Original,2015,"Movie, Animation, Kids",1,-,-,SS,FP,"NitroNimbus, rom",2.0,2023-10-10,Minions Pinball
Miraculous (Original 2019),Original,2019,"Movie, Animation, Kids",-,-,-,EM,VPX,JPSalas,4.3.0,2023-11-02,Miraculous
